,Name,Age,Class/Dept,Ticket,Embarked,Job
432,"CHRONOPOULOS, Mr Apostolos M.",26,3rd Class Passenger,2680£14               9s               1d,Cherbourg,General Labourer                             
433,"CHRONOPOULOS, Mr Dimitrios M.",21,3rd Class Passenger,2680£14               9s               1d,Cherbourg,General Labourer                             
434,"CLARK, Mr Walter Miller",27,1st Class Passenger,13508£136               15s               7d,Cherbourg,                             
435,"CLARK, Mrs Virginia Estelle",26,1st Class Passenger,13508£136               15s               7d,Cherbourg,                             
436,"CLARK, Mr William",39,Engineering Crew, ,Southampton,Fireman                             
437,"CLARKE, Mr Charles Valentine",29,2nd Class Passenger,2003£26                             ,Southampton,Dairy Worker                             
438,"CLARKE, Mrs Ada Maria",28,2nd Class Passenger,2003£27                             ,Southampton,                             
439,"CLARKE, Mr John Frederick Preston",30,2nd Class PassengerMusician,250654 ,Southampton,Musician                             
440,"CLEAVER, Miss Alice Catherine",22,1st Class PassengerServant,113781£151               16s               ,Southampton,Nursemaid                             
441,"CLELAND, Mr James",29,Engineering Crew, ,Belfast,Fireman                             
442,"CLENCH, Mr Frederick",34,Deck Crew, ,Southampton,Able Seaman                             
443,"CLENCH, Mr George",31,Deck Crew, ,Southampton,Able Seaman                             
444,"CLIFFORD, Mr George Quincy",40,1st Class Passenger,110465£52                             ,Southampton,                             
445,"COCHRANE, Mr Robert",40,Engineering Crew, ,Belfast,Fireman                             
446,"COE, Mr Harry",21,Engineering Crew, ,Southampton,Trimmer                             
447,"COELHO, Mr Domingos Fernandeo",20,3rd Class Passenger,3101307£7               1s               ,Southampton,General Labourer                             
448,"COFFEY, Mr John",23,Engineering Crew, ,Southampton,Fireman                             
449,"COHEN, Mr Gurshon ""Gus""",18,3rd Class Passenger,3540£8               1s               ,Southampton,Printer / Compositor                             
450,"COLBERT, Mr Patrick",24,3rd Class Passenger,371109£7               5s               ,Queenstown,General Labourer                             
451,"COLEFF, Mr Satio",24,3rd Class Passenger,349209£7               17s               11d,Southampton,General Labourer                             
452,"COLEMAN, Mr John",57,Engineering Crew, ,Belfast,Mess Steward                             
453,"COLEMAN, Mr Albert Edward",28,Victualling Crew, ,Southampton,Saloon Steward (1st class)                             
454,"COLERIDGE, Mr Reginald Charles",29,2nd Class Passenger,14263£10               10s               ,Southampton,Advertising Consultant                             
455,"COLGAN, Mr E. Joseph",33,Victualling Crew, ,Southampton,Scullion                             
456,"COLLANDER, Mr Erik Gustaf",27,2nd Class Passenger,248740£13                             ,Southampton,                             
457,"COLLETT, Mr Sidney Clarence Stuart",25,2nd Class Passenger,28034£10               10s               ,Southampton,                             
458,"COLLEY, Mr Edward Pomeroy",37,1st Class Passenger,5727£25               11s               9d,Southampton,                             
459,"COLLINS, Mr Samuel",35,Engineering Crew, ,Southampton,Fireman                             
460,"COLLINS, Mr John",17,Victualling Crew, ,Southampton,Scullion                             
461,"COLLIS, Mr ",,1st Class PassengerCross Channel Passenger,7 ,Southampton,                             
462,"COLLYER, Mr Harvey",31,2nd Class Passenger,31921£26               5s               ,Southampton,Grocer                             
463,"COLLYER, Mrs Charlotte Annie",31,2nd Class Passenger,31921£26               5s               ,Southampton,                             
464,"COLLYER, Miss Marjorie Charlotte ""Lottie""",8,2nd Class Passenger,31921£26               5s               ,Southampton,                             
465,"COLTCHEFF, Mr Peju",36,3rd Class Passenger,349210£7               17s               11d,Southampton,General Labourer                             
466,"COMBES, Mr George",34,Engineering Crew, ,Southampton,Fireman                             
467,"COMPTON, Mrs Mary Eliza",64,1st Class Passenger,17756£83               3s               2d,Cherbourg,                             
468,"COMPTON, Miss Sara Rebecca",39,1st Class Passenger,17756£83               3s               2d,Cherbourg,                             
469,"COMPTON, Mr Alexander Taylor jr",37,1st Class Passenger,17756£83               3s               2d,Cherbourg,                             
470,"CONLON, Mr Thomas Henry",31,3rd Class Passenger,21332£7               14s               8d,Queenstown,General Labourer                             
471,"CONNAGHTON, Mr Michael",31,3rd Class Passenger,335097£7               15s               ,Queenstown,Farm Labourer                             
472,"CONNOLLY, Miss Kate",23,3rd Class Passenger,370373£7               15s               ,Queenstown,                             
473,"CONNOLLY, Miss Kate",35,3rd Class Passenger,330972£7               12s               7d,Queenstown,                             
474,"CONNOR, Mr James",46,Engineering Crew, ,Belfast,Greaser                             
475,"CONNOR, Mr Thomas",39,Engineering Crew, ,Belfast,Fireman                             
476,"CONNORS, Mr Patrick",66,3rd Class Passenger,370369£7               15s               ,Queenstown,Farm Labourer                             
477,"CONWAY, Mr P. W.",25,Victualling Crew, ,Belfast,Saloon Steward                             
478,"COOK, Mrs Selena",22,2nd Class Passenger,14266£10               10s               ,Southampton,                             
479,"COOK, Mr Jacob",43,3rd Class Passenger,3536£8               1s               ,Southampton,Wood Carver                             
480,"COOK, Mr George",32,Victualling Crew, ,Southampton,Saloon Steward                             
481,"COOMBS, Mr Charles Augustus",44,Victualling Crew, ,Southampton,Assistant Cook                             
482,"COOPER, Mr Harry",26,Engineering Crew, ,Southampton,Fireman                             
483,"COOPER, Mr James Edward",25,Engineering Crew, ,Southampton,Trimmer                             
484,"COPPERTHWAITE, Mr B.",22,Engineering Crew, ,Southampton,Fireman                             
485,"COR, Mr Bartol",35,3rd Class Passenger,349230£7               17s               11d,Southampton,General Labourer                             
486,"COR, Mr Ivan",27,3rd Class Passenger,349229£7               17s               11d,Southampton,General Labourer                             
487,"COR, Mr Liudevit",19,3rd Class Passenger,349231£7               17s               11d,Southampton,General Labourer                             
488,"CORBEN, Mr Ernest Theodore",27,Victualling Crew, ,Southampton,Assistant Printer Steward                             
489,"CORBETT, Mrs Irene",30,2nd Class Passenger,237249£13                             ,Southampton,Musician                             
490,"CORCORAN, Mr Denny",33,Engineering Crew, ,Southampton,Fireman                             
491,"COREY, Mrs Mary Phyllis Elizabeth",30,2nd Class Passenger,13534£21                             ,Southampton,                             
492,"CORN, Mr Harry",30,3rd Class Passenger,392090£8               1s               ,Southampton,Upholsterer                             
493,"CORNAIRE, Mr Marcel Raymond André",19,Restaurant Staff, ,Southampton,Assistant Roast Cook                             
494,"CORNELL, Mrs Malvina Helen",55,1st Class Passenger,11770£25               14s               10d,Southampton,                             
495,"CORR, Miss Helen",16,3rd Class Passenger,367231£7               15s               ,Queenstown,                             
496,"COSGROVE, Mr John",23,Engineering Crew, ,Belfast,Trimmer                             
497,"COSGROVE, Mr William",26,Engineering Crew, ,Belfast,Trimmer                             
498,"COTTERILL, Mr Henry ""Harry""",20,2nd Class Passenger,29107£11               10s               ,Southampton,Carpenter / Joiner                             
499,"COTTON, Mr A.",,Engineering Crew, ,Southampton,Trimmer                             
500,"COUCH, Mr Frank",28,Deck Crew, ,Southampton,Able Seaman                             
501,"COUCH, Mr Joseph Henry",49,Engineering Crew, ,Southampton,Greaser                             
502,"COUPER, Mr Robert",30,Engineering Crew, ,Southampton,Fireman                             
503,"COUTIN, Mr Auguste Louis",28,Restaurant Staff, ,Southampton,Entreé Cook                             
504,"COUTTS, Mrs Winnie ""Minnie""",36,3rd Class Passenger,37671£15               18s               ,Southampton,                             
505,"COUTTS, Master William Loch ""Willie""",9,3rd Class Passenger,37671£15               18s               ,Southampton,                             
506,"COUTTS, Master Neville Leslie",3,3rd Class Passenger,37671£15               18s               ,Southampton,                             
507,"COX, Mr William Denton",29,Victualling Crew, ,Southampton,Third class steward                             
508,"COXON, Mr Daniel",59,3rd Class Passenger,364500£7               5s               ,Southampton,Dealer                             
509,"COY, Mr Francis Ernest George",26,Engineering Crew, ,Belfast,Junior Assistant 3rd. Engineer                             
510,"CRABB, Mr Henry James",23,Engineering Crew, ,Southampton,Trimmer                             
511,"CRAFTER, Mr Frederick",27,Victualling Crew, ,Southampton,Saloon Steward                             
512,"CRAFTON, Mr John Bertram",59,1st Class Passenger,113791£26               11s               ,Southampton,Businessman                             
513,"CRAIG, Mr David",33,Engineering Crew, ,Belfast,Fireman                             
514,"CRAIG, Mr John",29,Engineering Crew, ,Belfast,Fireman                             
515,"CRAWFORD, Mr Alfred George",43,Victualling Crew, ,Belfast,Bed Room Steward                             
516,"CREASE, Mr Ernest James",19,3rd Class Passenger,3464£8               3s               2d,Southampton,Tinsmith                             
517,"CREESE, Mr Henry Philip",44,Engineering Crew, ,Belfast,Deck Engineer                             
518,"CRIBB, Mr John Hatfield",44,3rd Class Passenger,371362£16               2s               ,Southampton,Butler                             
519,"CRIBB, Miss Laura Mae",16,3rd Class Passenger,371362£16               2s               ,Southampton,Shop Assistant                             
520,"CRIMMINS, Mr James",21,Engineering Crew, ,Southampton,Fireman                             
521,"CRISP, Mr Albert Hector",39,Victualling Crew, ,Belfast,Saloon Steward                             
522,"CRISPIN, Mr William",32,Victualling Crew, ,Southampton,Glory Hole Steward                             
523,"CROSBIE, Mr John Borthwick",44,Victualling Crew, ,Southampton,Turkish Bath Attendant                             
524,"CROSBY, Captain Edward Gifford",70,1st Class Passenger,5735£71                             ,Southampton,                             
525,"CROSBY, Mrs Catherine Elizabeth",64,1st Class Passenger,5735£71                             ,Southampton,                             
526,"CROSBY, Miss Harriette Rebecca",39,1st Class Passenger,112901£26               11s               ,Southampton,                             
527,"CROSKERY, Mr Thomas",38,Engineering Crew, ,Belfast,Fireman                             
528,"CROSS, Mr W.",39,Engineering Crew, ,Southampton,Fireman                             
529,"CROSSLEY, Mr John",34,Engineering Crew, ,Belfast,Trimmer                             
530,"CROUGHANE, Mr Michael",45,Engineering Crew, ,Belfast,Fireman                             
531,"CROVELLA, Sig. Luigi",17,Restaurant Staff, ,Southampton,Assistant Waiter                             
532,"CROWE, Mr George Frederick",30,Victualling Crew, ,Southampton,Saloon Steward                             
533,"CRUMPLIN, Mr Charles George Chandler",35,Victualling Crew, ,Belfast,Bed Room Steward                             
534,"CULLEN, Mr Charles",45,Victualling Crew, ,Belfast,Bed Room Steward                             
535,"CULLEN, Mr John",43,Engineering Crew, ,Belfast,Leading Fireman                             
536,"CULLEN, Mr Patrick",36,Engineering Crew, ,Belfast,Fireman                             
537,"CULUMOVIC, Mr Jeso",17,3rd Class Passenger,315090£8               13s               3d,Southampton,                             
538,"CUMINGS, Mr John Bradley",39,1st Class Passenger,17599£71               5s               8d,Cherbourg,                             
539,"CUMINGS, Mrs Florence Briggs",35,1st Class Passenger,17599£71               5s               8d,Cherbourg,                             
540,"CUNNINGHAM, Mr Alfred Fleming",21,2nd Class PassengerH&W Guarantee Group,239853 ,Belfast,Fitter                             
541,"CUNNINGHAM, Mr B.",30,Engineering Crew, ,Southampton,Fireman                             
542,"CUNNINGHAM, Mr Andrew",35,Victualling Crew, ,Belfast,Bed Room Steward                             
543,"CURRAN, Mr Thomas",41,Engineering Crew, ,Belfast,Greaser                             
544,"CURTIS, Mr Arthur",25,Engineering Crew, ,Southampton,Fireman                             
545,"DAHER, Mr Tannous",28,3rd Class Passenger,2686£7               4s               7d,Cherbourg,                             
546,"DAHL, Mr Charles Edward",45,3rd Class Passenger,7598£8               1s               ,Southampton,Carpenter / Joiner                             
547,"DAHLBERG, Miss Gerda Ulrika",22,3rd Class Passenger,7552£10               10s               4d,Southampton,                             
548,"DAKIC, Mr Branko",19,3rd Class Passenger,349228£10               3s               5d,Southampton,General Labourer                             
549,"DALY, Mr Peter Dennis",51,1st Class Passenger,113055£26               11s               ,Southampton,Businessman                             
550,"DALY, Miss Margaret Marcella ""Maggie""",30,3rd Class Passenger,382650£6               19s               ,Queenstown,Housekeeper                             
551,"DALY, Mr Eugene Patrick",29,3rd Class Passenger,382651£7               15s               ,Queenstown,Farm Labourer                             
552,"DANBOM, Mr Ernst Gilbert",34,3rd Class Passenger,347080£14               8s               ,Southampton,General Labourer                             
553,"DANBOM, Mrs Anna Sigrid Maria",28,3rd Class Passenger,347080£14               8s               ,Southampton,                             
554,"DANBOM, Master Gilbert Sigvard Emanuel",4m,3rd Class Passenger,347080£14               8s               ,Southampton,                             
555,"DANIEL, Mr Robert Williams",27,1st Class Passenger,113804£30               10s               ,Southampton,                             
556,"DANIELS, Miss Sarah",33,1st Class PassengerServant,113781£151               16s               ,Southampton,Personal Maid                             
557,"DANIELS, Mr Sidney Edward",18,Victualling Crew, ,Southampton,Third class steward                             
558,"DANOFF, Mr Yoto",27,3rd Class Passenger,349219£7               17s               11d,Southampton,General Labourer                             
559,"DASHWOOD, Mr William George",19,Victualling Crew, ,Southampton,Saloon Steward                             
560,"DAVIDSON, Mr Thornton",31,1st Class Passenger,12750£52                             ,Cherbourg,                             
561,"DAVIDSON, Mrs Orian",27,1st Class Passenger,12750£52                             ,Cherbourg,                             
562,"DAVIES, Mr Charles Henry",21,2nd Class Passenger,14879£73               10s               ,Southampton,                             
563,"DAVIES, Mrs Elizabeth Agnes Mary",48,2nd Class Passenger,33112£36               15s               ,Southampton,                             
564,"DAVIES, Master John Morgan jr",8,2nd Class Passenger,33112£36               15s               ,Southampton,                             
565,"DAVIES, Mr Evan",22,3rd Class Passenger,23568£8               1s               ,Southampton,Miner                             
566,"DAVIES, Mr Alfred J.",24,3rd Class Passenger,48871£24               3s               ,Southampton,Caster                             
567,"DAVIES, Mr John Samuel",21,3rd Class Passenger,48871£24               3s               ,Southampton,Ironworker                             
568,"DAVIES, Mr Joseph",17,3rd Class Passenger,48873£8               1s               ,Southampton,Ironworker                             
569,"DAVIES, Mr Thomas",33,Engineering Crew, ,Southampton,Leading Fireman                             
570,"DAVIES, Mr Gordon Raleigh",33,Victualling Crew, ,Belfast,Bed Room Steward                             
571,"DAVIES, Mr Robert J.",26,Victualling Crew, ,Belfast,Saloon Steward                             
572,"DAVIES, Mr H. V.",,2nd Class PassengerCross Channel Passenger,406£2                             ,Southampton,                             
573,"DAVIES, Miss K.",,2nd Class PassengerCross Channel Passenger,406£2                             ,Southampton,                             
574,"DAVIS, Miss Mary",28,2nd Class Passenger,237668£13                             ,Southampton,                             
575,"DAVIS, Mr Stephen James",39,Deck Crew, ,Southampton,Able Seaman                             
576,"DAVIS, Mr John",29,Victualling Crew, ,Belfast,Extra 2nd Baker                             
577,"DAVISON, Mr Thomas Henry",32,3rd Class Passenger,386525£16               2s               ,Southampton,Blacksmith                             
578,"DAVISON, Mrs Mary E.",34,3rd Class Passenger,386525£16               2s               ,Southampton,                             
579,"DAWSON, Mr Joseph",23,Engineering Crew, ,Southampton,Trimmer                             
580,"DE GRASSE, Mr J.",,2nd Class PassengerCross Channel Passenger,761£1                             ,Southampton,                             
581,"DE MARSICO, Sig. Govanni",20,Restaurant Staff, ,Southampton,Assistant Waiter                             
582,"DE MESSEMAEKER, Mr Guillaume Joseph",36,3rd Class Passenger,345572£17               8s               ,Southampton,                             
583,"DE MESSEMAEKER, Mrs Anna",36,3rd Class Passenger,345572£17               8s               ,Southampton,                             
584,"DE MULDER, Mr Theodoor",30,3rd Class Passenger,345774£9               10s               ,Southampton,                             
585,"DE PELSMAEKER, Mr Alfons",16,3rd Class Passenger,345778£9               10s               ,Southampton,Farm Labourer                             
586,"DEACON, Mr Percy William",20,2nd Class Passenger,14879£73               10s               ,Southampton,                             
587,"DEAN, Mr Bertram Frank",25,3rd Class Passenger,2315£20               11s               6d,Southampton,Farmer                             
588,"DEAN, Mrs Eva Georgetta",32,3rd Class Passenger,2315£20               11s               6d,Southampton,                             
589,"DEAN, Master Bertram Vere",1,3rd Class Passenger,2315£20               11s               6d,Southampton,                             
590,"DEAN, Miss Elizabeth Gladys 'Millvina'",2m,3rd Class Passenger,2315£20               11s               6d,Southampton,                             
591,"DEAN, Mr George H.",19,Victualling Crew, ,Southampton,Assistant Saloon Steward                             
592,"DEBREUCQ, Mr Maurice Emile Victor",18,Restaurant Staff, ,Southampton,Assistant Waiter                             
593,"DECKER, Mr Charles",47,Engineering Crew, ,Belfast,Fireman                             
594,"DEEBLE, Mr Alfred Arnold",34,Victualling Crew, ,Belfast,Saloon Steward (1st class)                             
595,"DEL CARLO, Mr Sebastiano",29,2nd Class Passenger,2167£27               14s               5d,Cherbourg,                             
596,"DEL CARLO, Mrs Argene",24,2nd Class Passenger,2167£27               14s               5d,Cherbourg,                             
597,"DELALIC, Mr Redjo",25,3rd Class Passenger,349250£7               17s               11d,Southampton,General Labourer                             
598,"DENBUOY, Mr Albert (""Herbert"")",25,2nd Class Passenger,31029£31               10s               ,Southampton,                             
599,"DENKOFF, Mr Mitto",30,3rd Class Passenger,349225£7               17s               11d,Southampton,General Labourer                             
600,"DENMIGAN, Mr Charles",42,Deck Crew, ,Belfast,Able Seaman                             
601,"DENNIS, Mr Samuel",22,3rd Class Passenger,21172£7               5s               ,Southampton,Farmer                             
602,"DENNIS, Mr William",26,3rd Class Passenger,21175£7               5s               ,Southampton,Farmer                             
603,"DENVER, Mr John",33,Engineering Crew, ,Belfast,Fireman                             
604,"DERRETT, Mr Albert",26,Victualling Crew, ,Belfast,Saloon Steward                             
605,"DESLANDS, Mr Percival Stainer",36,Victualling Crew, ,Southampton,Saloon Steward                             
606,"DESVERNINE, Mr Louis Gabriel",20,Restaurant Staff, ,Southampton,Assistant Pastry Cook                             
607,"DEVANEY, Miss Margaret Delia",19,3rd Class Passenger,330958£7               17s               7d,Queenstown,                             
608,"DIAPER, Mr John Joseph",27,Engineering Crew, ,Southampton,Fireman                             
609,"DIBDEN, Mr William",18,2nd Class Passenger,14879£73               10s               ,Southampton,                             
610,"DICK, Mr Albert Adrian",31,1st Class Passenger,17474£57                             ,Southampton,                             
611,"DICK, Mrs Vera",17,1st Class Passenger,17474£57                             ,Southampton,                             
612,"DICKSON, Mr W.",36,Engineering Crew, ,Southampton,Trimmer                             
613,"DIKA, Mr Mirko",17,3rd Class Passenger,349232£7               17s               11d,Southampton,                             
614,"DILLEY, Mr John",30,Engineering Crew, ,Southampton,Fireman                             
615,"DILLON, Mr Thomas Patrick",24,Engineering Crew, ,Southampton,Trimmer                             
616,"DIMIC, Mr Jovan",42,3rd Class Passenger,315088£8               13s               3d,Southampton,                             
617,"DINENAGE, Mr James Richard",49,Victualling Crew, ,Southampton,Saloon Steward                             
618,"DINTCHEFF, Mr Valtcho",43,3rd Class Passenger,349226£7               17s               11d,Southampton,                             
619,"DODD, Mr Edward Charles",38,Engineering Crew, ,Belfast,Junior 3rd. Engineer                             
620,"DODD, Mr George Charles",44,Victualling Crew, ,Belfast,Steward                             
621,"DODDS, Mr Henry Watson",27,Engineering Crew, ,Southampton,Junior Assistant 4th Engineer                             
622,"DODGE, Dr Washington",52,1st Class Passenger,33638£81               17s               2d,Southampton,Politician                             
623,"DODGE, Mrs Ruth",34,1st Class Passenger,33638£81               17s               2d,Southampton,                             
624,"DODGE, Master Washington",4,1st Class Passenger,33638£81               17s               2d,Southampton,                             
625,"DOEL, Mr Frederick",22,Engineering Crew, ,Southampton,Fireman                             
626,"DOLBY, Mr Joseph",36,Victualling Crew, ,Belfast,Reception Room Steward                             
627,"DOLING, Mrs Ada Julia Elizabeth",34,2nd Class Passenger,231919£23                             ,Southampton,                             
628,"DOLING, Miss Elsie",18,2nd Class Passenger,231919£23                             ,Southampton,                             
629,"DONATI, Sig. Italo Francesco",17,Restaurant Staff, ,Southampton,Assistant Waiter                             
630,"DONAUGHE, Mr Hugh",34,Deck Crew, ,Belfast,Able Seaman                             
631,"DONOGHUE, Mr Frank (?Thomas)",35,Victualling Crew, ,Belfast,Bed Room Steward                             
632,"DONOHOE, Miss Bridget",21,3rd Class Passenger,364856£7               15s               ,Queenstown,                             
633,"DOOLEY, Mr Patrick",38,3rd Class Passenger,370376£7               15s               ,Queenstown,General Labourer                             
634,"DORE, Mr Albert James",22,Engineering Crew, ,Southampton,Trimmer                             
635,"DORKING, Mr Edward Arthur",18,3rd Class Passenger,10482£8               1s               ,Southampton,Groom                             
636,"DORNIER, Mr Louis Auguste",20,Restaurant Staff, ,Southampton,Assistant Fish Cook                             
637,"DOUGHERTY, Mr William John",22,3rd Class Passenger,330877£8               9s               2d,Queenstown,                             
638,"DOUGHTY, Mr W.",22,Victualling Crew, ,Southampton,Saloon Steward                             
639,"DOUGLAS, Mr Walter Donald",50,1st Class Passenger,17761£106               8s               6d,Cherbourg,                             
640,"DOUGLAS, Mrs Mahala",48,1st Class Passenger,17761£106               8s               6d,Cherbourg,                             
641,"DOUGLAS, Mrs Mary Hélène",27,1st Class Passenger,17558£247               10s               5d,Cherbourg,                             
642,"DOUGLASS, Mr William",31,Deck Crew, ,Belfast,Able Seaman                             
643,"DOUTON, Mr William Joseph",55,2nd Class Passenger,28403£26                             ,Southampton,Quarryman                             
644,"DOWDELL, Miss Elizabeth",31,3rd Class Passenger,364516£12               9s               6d,Southampton,Housekeeper                             
645,"DOYLE, Miss Elizabeth",24,3rd Class Passenger,368702£7               15s               ,Queenstown,                             
646,"DOYLE, Mr Laurence",27,Engineering Crew, ,Southampton,Fireman                             
647,"DRAZENOVIC, Mr Jozef",33,3rd Class Passenger,349241£7               17s               11d,Cherbourg,General Labourer                             
648,"DREW, Mr James Vivian",42,2nd Class Passenger,28220£32               10s               ,Southampton,                             
649,"DREW, Mrs Lulu Thorne",34,2nd Class Passenger,28220£32               10s               ,Southampton,                             
650,"DREW, Master Marshall Brines",8,2nd Class Passenger,28220£32               10s               ,Southampton,                             
651,"DROPKIN, Miss Jennie",24,3rd Class Passenger,392083£8               1s               ,Southampton,Box Maker                             
652,"DUFF GORDON, Sir Cosmo Edmund",49,1st Class Passenger,11755£39               12s               ,Cherbourg,Landowner                             
653,"DUFF GORDON,  Lucy Christiana, Lady",48,1st Class Passenger,17485£56               18s               7d,Cherbourg,Dressmaker / Couturière                             
654,"DUFFY, Mr William Luke",28,Engineering Crew, ,Belfast,Writer / Engineer's Clerk                             
655,"DULLES, Mr William Crothers",39,1st Class Passenger,17580£29               14s               ,Cherbourg,                             
656,"DUNFORD, Mr William",41,Victualling Crew, ,Southampton,Hospital Steward                             
657,"DUNLOP, Mr Joseph",47,Engineering Crew, ,Belfast,Fireman                             
658,"DUQUEMIN, Mr Joseph Pierre",19,3rd Class Passenger,752£7               11s               ,Southampton,Mason                             
659,"DURáN I MONé, Sra. Florentina",30,2nd Class Passenger,2148£13               17s               2d,Cherbourg,                             
660,"DURAN Y MORE, Sra. Asuncion",27,2nd Class Passenger,2149£13               17s               2d,Cherbourg,                             
661,"DURNIL, Mr James",38,Engineering Crew, ,Southampton,Leading Fireman                             
662,"DWAN, Mr Frank",65,3rd Class Passenger,336439£7               15s               ,Queenstown,Farm Labourer                             
663,"DYER, Mr Henry Ryland",24,Engineering Crew, ,Belfast,Senior Assistant 4th. Engineer                             
664,"DYER, Mr William",31,Victualling Crew, ,Southampton,Saloon Steward                             
665,"DYER-EDWARDES, Mr Thomas",65,1st Class PassengerCross Channel Passenger,87£3                             ,Southampton,                             
666,"DYER-EDWARDES, Mrs Clementina Georgina Lucy",53,1st Class PassengerCross Channel Passenger,87£3                             ,Southampton,                             
667,"DYKER, Mr Adolf Fredrik",23,3rd Class Passenger,347072£13               18s               ,Southampton,General Labourer                             
668,"DYKER, Mrs Anna Elisabeth Judith",22,3rd Class Passenger,347072£13               18s               ,Southampton,                             
669,"DYMOND, Mr Frank",40,Engineering Crew, ,Southampton,Fireman                             
670,"EAGLE, Mr Alfred James",22,Engineering Crew, ,Southampton,Trimmer                             
671,"EARNSHAW, Mrs Olive",23,1st Class Passenger,11767£83               3s               2d,Cherbourg,Of Independent Means                             
672,"EASTMAN, Mr Charles",44,Engineering Crew, ,Southampton,Greaser                             
673,"EDBROOKE, Mr Francis Samuel Jacob",23,Victualling Crew, ,Southampton,Third class steward                             
674,"EDE, Mr George Bulkeley",22,Victualling Crew, ,Southampton,3rd Class Steward                             
675,"EDGE, Mr Frederick William",39,Victualling Crew, ,Southampton,Deck Steward                             
676,"EDVARDSSON, Mr Gustaf Hjalmar",18,3rd Class Passenger,349912£7               15s               6d,Southampton,General Labourer                             
677,"EDWARDS, Mr Clement",39,Victualling Crew, ,Southampton,Assistant Pantryman Steward                             
678,"EGG, Mr William Henry",47,Victualling Crew, ,Southampton,Third class steward                             
679,"EITEMILLER, Mr George Floyd",23,2nd Class Passenger,29751£13                             ,Southampton,                             
680,"EKLUND, Mr Hans Linus",16,3rd Class Passenger,347074£7               15s               6d,Southampton,General Labourer                             
681,"EKSTRöM, Mr Johan",45,3rd Class Passenger,347061£6               19s               6d,Southampton,General Labourer                             
682,"ELIAS, Mr Dibo",29,3rd Class Passenger,2674£7               4s               6d,Cherbourg,General Labourer                             
683,"ELIAS, Mr Joseph jr.",15,3rd Class Passenger,2690£7               4s               7d,Cherbourg,General Labourer                             
684,"ELIAS NASRALLAH, Mr Tannous",22,3rd Class Passenger,2695£7               4s               7d,Cherbourg,General Labourer                             
685,"ELLIOTT, Mr Everett Edward",24,Engineering Crew, ,Southampton,Trimmer                             
686,"ELLIS, Mr John Bertram",30,Victualling Crew, ,Southampton,Assistant Vegetable Cook                             
687,"ELLISON, Mr Joseph",29,Engineering Crew, ,Belfast,Trimmer                             
688,"ELSBURY, Mr William James",47,3rd Class Passenger,3902£7               5s               ,Southampton,Farmer                             
689,"EMANUEL, Miss Virginia Ethel",5,3rd Class Passenger,364516£12               9s               6d,Southampton,                             
690,"ENANDER, Mr Ingvar",21,2nd Class Passenger,236854£13                             ,Southampton,                             
691,"ENDRES, Miss Caroline Louise",39,1st Class PassengerServant,17757£247               10s               6d,Cherbourg,Nurse                             
692,"ENNES, Mr William",28,Engineering Crew, ,Belfast,Leading Fireman                             
693,"ENNIS, Mr Walter",35,Victualling Crew, ,Southampton,Turkish Bath Attendant                             
694,"ERVINE, Mr Albert George",18,Engineering Crew, ,Belfast,Electrician                             
695,"ESTANISLAU, Mr Manuel Gonçalves",37,3rd Class Passenger,3101306£7               1s               ,Southampton,General Labourer                             
696,"ETCHES, Mr Henry Samuel",43,Victualling Crew, ,Belfast,First class bedroom steward                             
697,"EUSTIS, Miss Elizabeth Mussey",54,1st Class Passenger,36947£78               5s               4d,Cherbourg,                             
698,"EVANS, Miss Edith Corse",36,1st Class Passenger,17531£31               13s               7d,Cherbourg,                             
699,"EVANS, Mr Alfred Frank",25,Deck Crew, ,Southampton,Lookout                             
700,"EVANS, Mr Frank Oliver",27,Deck Crew, ,Southampton,Able Seaman                             
701,"EVANS, Mr William",30,Engineering Crew, ,Southampton,Trimmer                             
702,"EVANS, Mr George Richard",27,Victualling Crew, ,Belfast,Saloon Steward                             
703,"EVANS, Miss ",,2nd Class PassengerCross Channel Passenger,88£1                             ,Southampton,                             
704,"EVERETT, Mr Thomas James",39,3rd Class Passenger,6212£15               2s               ,Southampton,Crane Operator                             
705,"FAHLSTRøM, Mr Arne Joma",18,2nd Class Passenger,236171£13                             ,Southampton,                             
706,"FAIRALL, Mr Henry",38,Victualling Crew, ,Belfast,Saloon Steward                             
707,"FARENDEN, Mr Ernest John",22,Victualling Crew, ,Belfast,Confectioner                             
708,"FARLEY, Mr John",31,Engineering Crew, ,Belfast,Fireman                             
709,"FARQUHARSON, Mr William Edward",39,Engineering Crew, ,Belfast,Senior 2nd. Engineer                             
710,"FARRELL, Mr James ""Jim""",25,3rd Class Passenger,367232£7               15s               ,Queenstown,Farm Labourer                             
711,"FARTHING, Mr John",57,1st Class PassengerServant,17483£221               15s               7d,Southampton,Servant                             
712,"FAULKNER, Mr William Stephen",37,Victualling Crew, ,Belfast,Bed Room Steward                             
713,"FAUNTHORPE, Mr Harry Bartram",40,2nd Class Passenger,2926£26                             ,Southampton,                             
714,"FAY, Mr Thomas Joseph",30,Engineering Crew, ,Southampton,Greaser                             
715,"FELLOWES, Mr Alfred James",29,Victualling Crew, ,Belfast,Assistant boots steward (1st class)                             
716,"FELTHAM, Mr George William",36,Victualling Crew, ,Southampton,Vienna Baker                             
717,"FERRARY, Mr Antonio",34,Engineering Crew, ,Southampton,Trimmer                             
